Feature,Mean_Abs_SHAP
558,0.00034335497
506,0.00034188817
1002,0.0003388226
476,0.0003370487
305,0.00033413726
682,0.00033341168
4,0.00033272838
231,0.00033263877
279,0.000330029
556,0.0003241788
997,0.00032323485
721,0.00032186566
71,0.00031956844
386,0.00031898802
221,0.00031746775
779,0.00031620762
21,0.00031533904
388,0.0003151165
825,0.00031383854
966,0.00031314619
410,0.00031014343
288,0.0003099049
795,0.00030847997
16,0.0003073339
447,0.0003019841
72,0.00030178638
393,0.00029976046
680,0.00029704234
276,0.00029557588
148,0.0002953442
336,0.00029507256
327,0.00029434593
573,0.00029360992
341,0.00029184847
929,0.00029163563
512,0.00028818613
112,0.00028749043
676,0.00028701455
793,0.00028581737
852,0.00028446334
77,0.0002844083
547,0.00028184304
925,0.00027989695
444,0.00027935053
184,0.00027842112
283,0.00027637518
67,0.0002748536
591,0.00027404033
981,0.0002728109
565,0.000271514
610,0.00027134028
598,0.00026855798
978,0.00026855065
400,0.00026815516
877,0.0002653623
910,0.00026163016
366,0.0002606173
816,0.0002597787
631,0.00025968725
915,0.00025719267
358,0.00025587727
179,0.00025433194
732,0.00025421768
101,0.00025360135
482,0.00025357064
185,0.00025340926
251,0.00025333636
760,0.00025204362
809,0.0002502001
611,0.00024722426
62,0.0002459715
94,0.00024472832
329,0.0002435664
956,0.00024256868
240,0.00024238332
364,0.00024186421
139,0.00024163035
919,0.0002413022
798,0.0002391295
213,0.00023887621
633,0.00023701291
106,0.00023622412
689,0.00023412674
705,0.00023395038
801,0.00023177943
1018,0.00022719993
624,0.00022329243
437,0.00022277793
510,0.00022226953
74,0.00022105928
703,0.00022102891
488,0.00021930978
453,0.00021926542
767,0.00021868749
189,0.00021864384
597,0.00021577087
864,0.00021518015
581,0.00021469087
614,0.00021415524
526,0.00021277301
712,0.00021084266
945,0.00020903141
907,0.00020881611
959,0.00020304299
758,0.00020015803
241,0.0002001061
941,0.00019911311
5,0.00019721729
702,0.00019605762
354,0.00018930524
699,0.00018728976
516,0.00018648007
159,0.00018503584
258,0.0001846234
661,0.00018459676
370,0.00018278157
823,0.0001815227
54,0.00018097603
123,0.00018070932
672,0.00017997297
411,0.00017952322
318,0.00017869342
804,0.00017849341
130,0.00017713435
247,0.00017665217
796,0.00017494768
849,0.00017441672
315,0.00017211851
219,0.00017179872
355,0.00017156574
722,0.00017151631
533,0.00017056942
635,0.00016920606
595,0.00016878922
639,0.00016809118
525,0.00016674252
748,0.00016465972
932,0.00015976324
613,0.00015967165
87,0.00015966863
349,0.0001571822
947,0.00015683187
304,0.00015671697
891,0.00015370139
105,0.00015223901
295,0.00015199686
931,0.00015106221
503,0.00015027229
847,0.00014639825
277,0.00014632106
307,0.0001459256
991,0.00014443815
936,0.00014332718
669,0.00014183087
489,0.0001412207
600,0.00014043313
738,0.00013915256
1008,0.00013801795
381,0.00013591758
594,0.00013315007
930,0.00013291353
606,0.00013207294
709,0.00013006716
750,0.00012732661
684,0.000126965
201,0.00012605832
396,0.00012528658
806,0.00012467382
215,0.00012459455
545,0.00012435563
394,0.00012381714
927,0.00012379771
770,0.00012366443
763,0.00012356887
485,0.00012354148
587,0.00012257707
429,0.0001214115
704,0.00012122829
56,0.00012065593
797,0.00012036626
290,0.00011738976
408,0.00011701433
802,0.000115347706
988,0.00011532264
604,0.000115176466
728,0.00011362375
629,0.000113028815
265,0.00011231334
554,0.00011138333
113,0.00011014785
26,0.00010864508
278,0.00010859963
209,0.00010713598
420,0.0001062694
735,0.000104821185
952,0.00010451329
193,0.00010439898
724,0.000104172505
658,0.000104152576
224,0.00010408093
541,0.00010363915
811,0.00010363712
387,0.00010131862
968,0.0001002875
985,0.00010002848
126,9.997659e-05
92,9.948538e-05
790,9.898435e-05
232,9.820604e-05
559,9.660461e-05
178,9.548774e-05
539,9.484019e-05
287,9.378656e-05
754,9.357548e-05
461,9.326447e-05
636,9.312038e-05
135,9.2589005e-05
29,9.220025e-05
245,9.130171e-05
274,9.1301066e-05
844,9.071055e-05
