Molecule ChEMBL ID,SMILES,pIC50,Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
CHEMBL3604089,CC(=O)Nc1ccc(OC2=CC(=O)c3c(O)cccc3C2=O)cc1,5.42021640338319,323.3,2.69,92.7,5.0,2.0,0.0,3.0,0.91,2.0,24.0,0.48
CHEMBL3604090,CC(=O)Nc1ccc(OC2=CC(=O)c3cccc(O)c3C2=O)cc1,5.632644078973981,323.3,2.69,92.7,5.0,2.0,0.0,3.0,0.91,2.0,24.0,0.52
CHEMBL3604091,Cc1ccc(OC2=CC(=O)c3ccccc3C2=O)cc1,5.467245621007502,264.28,3.34,43.37,3.0,0.0,0.0,2.0,0.84,2.0,20.0,0.44
CHEMBL3604092,Cc1ccc(OC2=CC(=O)c3cc4ccccc4cc3C2=O)cc1,5.935542010773082,314.34,4.49,43.37,3.0,0.0,0.0,2.0,0.7,3.0,24.0,0.42
CHEMBL3604093,COc1cccc2c1C(=O)C=C(Oc1ccc(C)cc1)C2=O,5.578396073130168,294.31,3.35,52.6,4.0,0.0,0.0,3.0,0.87,2.0,22.0,0.53
CHEMBL3604094,COc1cccc2c1C(=O)C(Oc1ccc(C)cc1)=CC2=O,4.962573502059376,294.31,3.35,52.6,4.0,0.0,0.0,3.0,0.87,2.0,22.0,0.66
CHEMBL3604095,Cc1ccc(OC2=CC(=O)c3c(O)cccc3C2=O)cc1,5.262807357295262,280.28,3.04,63.6,4.0,1.0,0.0,2.0,0.92,2.0,21.0,0.92
CHEMBL3604096,Cc1ccc(OC2=CC(=O)c3cccc(O)c3C2=O)cc1,5.52432881167557,280.28,3.04,63.6,4.0,1.0,0.0,2.0,0.92,2.0,21.0,0.96
CHEMBL3604097,COc1ccc(OC2=CC(=O)c3ccccc3C2=O)cc1,5.274088367704952,280.28,3.04,52.6,4.0,0.0,0.0,3.0,0.87,2.0,21.0,0.59
CHEMBL3604098,COc1ccc(OC2=CC(=O)c3cc4ccccc4cc3C2=O)cc1,5.5934598195660445,330.34,4.19,52.6,4.0,0.0,0.0,3.0,0.72,3.0,25.0,0.54
CHEMBL3604099,COc1ccc(OC2=CC(=O)c3c(OC)cccc3C2=O)cc1,5.510041520575165,310.31,3.05,61.83,5.0,0.0,0.0,4.0,0.87,2.0,23.0,0.65
CHEMBL3604100,COc1ccc(OC2=CC(=O)c3cccc(OC)c3C2=O)cc1,4.648590248074561,310.31,3.05,61.83,5.0,0.0,0.0,4.0,0.87,2.0,23.0,0.77
CHEMBL3604101,COc1ccc(OC2=CC(=O)c3c(O)cccc3C2=O)cc1,5.675717544702307,296.28,2.74,72.83,5.0,1.0,0.0,3.0,0.94,2.0,22.0,1.04
CHEMBL3604102,COc1ccc(OC2=CC(=O)c3cccc(O)c3C2=O)cc1,5.504455662453552,296.28,2.74,72.83,5.0,1.0,0.0,3.0,0.94,2.0,22.0,1.08
CHEMBL3604103,COc1cccc2c1C(=O)C=C(Oc1ccccc1)C2=O,5.251811972993799,280.28,3.04,52.6,4.0,0.0,0.0,3.0,0.87,2.0,21.0,0.67
CHEMBL3604104,COc1cccc2c1C(=O)C(Oc1ccccc1)=CC2=O,4.8830603534492445,280.28,3.04,52.6,4.0,0.0,0.0,3.0,0.87,2.0,21.0,0.81
CHEMBL3604105,O=C1C(Oc2ccccc2)=CC(=O)c2c(O)cccc21,5.075204004202088,266.25,2.73,63.6,4.0,1.0,0.0,2.0,0.91,2.0,20.0,1.08
CHEMBL3604191,O=C1C=C(Oc2ccccc2)C(=O)c2c(O)cccc21,5.528708288941061,266.25,2.73,63.6,4.0,1.0,0.0,2.0,0.91,2.0,20.0,1.12
CHEMBL3604894,O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,5.581698708680255,282.13,3.95,49.33,2.0,2.0,0.0,2.0,0.88,2.0,18.0,-1.56
CHEMBL3608846,O=[N+]([O-])c1cn2c(n1)OCC(COc1ccc(OC(F)(F)F)cc1)C2,6.337242168318426,359.26,2.78,88.65,7.0,0.0,0.0,5.0,0.6,2.0,25.0,-0.85
CHEMBL3608849,O=[N+]([O-])c1cn2c(n1)OCC(COCc1ccc(OC(F)(F)F)cc1)C2,5.752922702990778,373.29,2.92,88.65,7.0,0.0,0.0,6.0,0.57,2.0,26.0,-0.9
CHEMBL3608850,O=[N+]([O-])c1cn2c(n1)OCC(COCc1ccc(OCc3ccccc3)cc1)C2,5.809894379144197,395.42,3.6,88.65,7.0,0.0,0.0,8.0,0.43,3.0,29.0,-0.69
CHEMBL3612337,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1ccc(Oc2ccccc2)cc1,6.567030709125595,339.31,2.62,112.18,7.0,1.0,0.0,6.0,0.55,3.0,25.0,-1.93
CHEMBL3612338,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1ccc(Oc2ccc(Cl)cc2)cc1,7.468521082957745,373.76,3.27,112.18,7.0,1.0,0.0,6.0,0.52,3.0,26.0,-2.01
CHEMBL3612339,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1ccc(Oc2ccc(F)cc2)cc1,6.73754891026957,357.3,2.76,112.18,7.0,1.0,0.0,6.0,0.54,3.0,26.0,-2.1
CHEMBL3612340,O=C(Cn1cncn1)Nc1ccc(Oc2ccc(Cl)cc2)cc1,4.537602002101044,328.76,3.36,69.04,5.0,1.0,0.0,5.0,0.78,3.0,23.0,-2.05
CHEMBL3612342,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1nccc(-c2ccccc2)n1,3.511449283499556,325.29,1.28,128.73,8.0,1.0,0.0,5.0,0.55,3.0,24.0,-2.1
CHEMBL3612343,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1ccc(Cc2ccccc2)cc1,5.221848749616356,337.34,2.42,102.95,6.0,1.0,0.0,6.0,0.55,3.0,25.0,-1.8
CHEMBL3612344,O=C(Cn1cnc([N+](=O)[O-])n1)Nc1cccc(OCc2ccccc2)c1,5.470897107821554,353.34,2.4,112.18,7.0,1.0,0.0,7.0,0.52,3.0,26.0,-2.1
CHEMBL3612345,O=C(Cn1cnc([N+](=O)[O-])n1)NC1CCN(Cc2ccccc2)CC1,3.876148359032914,344.38,0.97,106.19,7.0,1.0,0.0,6.0,0.62,2.0,25.0,-2.14
CHEMBL3612346,O=C(Cn1ccnc1[N+](=O)[O-])Nc1ccc(Oc2ccccc2)cc1,5.449126463026817,338.32,3.22,99.29,6.0,1.0,0.0,6.0,0.55,3.0,25.0,-1.35
CHEMBL3612347,O=C(Cn1ccnc1[N+](=O)[O-])Nc1ccc(Oc2ccc(Cl)cc2)cc1,5.83889035263304,372.77,3.88,99.29,6.0,1.0,0.0,6.0,0.52,3.0,26.0,-1.45
CHEMBL3612837,O=C(Cn1ccnc1[N+](=O)[O-])Nc1ccc(Oc2ccc(F)cc2)cc1,5.695736983211403,356.31,3.36,99.29,6.0,1.0,0.0,6.0,0.54,3.0,26.0,-1.54
CHEMBL361497,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,4.3979400086720375,384.43,2.6,100.52,7.0,1.0,0.0,4.0,0.58,0.0,27.0,3.15
CHEMBL3621227,COc1cccc(-c2csc(Nc3ccc(Cl)cn3)n2)n1,4.167491087293763,318.79,4.01,59.93,6.0,1.0,0.0,4.0,0.79,3.0,21.0,-2.33
CHEMBL3621635,COc1ccc(OC)c(/C=C/NC(=O)c2cc(O)c3cccc(OC)c3n2)c1,5.425968732272281,380.4,3.37,89.91,6.0,2.0,0.0,6.0,0.68,3.0,28.0,-0.07
CHEMBL3623294,Cc1ccc(Nc2nc(-c3ccccn3)cs2)cc1C,5.443697499232712,281.38,4.57,37.81,4.0,1.0,0.0,3.0,0.76,3.0,20.0,-2.21
CHEMBL3623295,COc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,5.585026652029182,283.36,3.96,47.04,5.0,1.0,0.0,4.0,0.79,3.0,20.0,-1.85
CHEMBL3623296,Cc1ccc(Nc2nc(-c3ccccc3)cs2)cc1C,4.0,280.4,5.17,24.92,3.0,1.0,1.0,3.0,0.72,3.0,20.0,-2.09
CHEMBL3623297,Cc1ccc(Nc2nc(C3C=CC=CC3)cs2)cc1,4.0,268.39,4.79,24.92,3.0,1.0,0.0,3.0,0.86,2.0,19.0,-0.68
CHEMBL3623298,Fc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,4.0,270.33,4.69,24.92,3.0,1.0,0.0,3.0,0.75,3.0,19.0,-2.22
CHEMBL3623299,COc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,4.090443970758825,283.36,3.96,47.04,5.0,1.0,0.0,4.0,0.79,3.0,20.0,-1.98
CHEMBL3623300,COc1ccc(Nc2nc(-c3ncccn3)cs2)cc1,4.291579099865287,284.34,3.35,59.93,6.0,1.0,0.0,4.0,0.8,3.0,20.0,-1.85
CHEMBL3623301,CN(C)c1ccc(Nc2nc(-c3ccccn3)cs2)cc1,5.853871964321762,296.4,4.01,41.05,5.0,1.0,0.0,4.0,0.79,3.0,21.0,-2.1
CHEMBL3623302,c1ccc(-c2csc(Nc3ccc4c(c3)OCCO4)n2)nc1,5.764471553092451,311.37,3.72,56.27,6.0,1.0,0.0,3.0,0.8,3.0,22.0,-1.9
CHEMBL3623303,c1ccc(-c2csc(Nc3ccc(N4CCOCC4)cc3)n2)nc1,4.149353764816934,338.44,3.79,50.28,6.0,1.0,0.0,4.0,0.78,3.0,24.0,-2.25
CHEMBL3623304,COc1cccc(Nc2nc(-c3ccccn3)cs2)c1,4.950781977329818,283.36,3.96,47.04,5.0,1.0,0.0,4.0,0.79,3.0,20.0,-2.05
CHEMBL3623305,Cc1cc(C)c(Nc2nc(-c3ccccn3)cs2)c(C)c1,6.431798275933005,295.41,4.87,37.81,4.0,1.0,0.0,3.0,0.75,3.0,21.0,-1.81
CHEMBL3623306,COc1ccc(Nc2nc(-c3ccccn3)cs2)cc1OC,4.742321425130816,313.38,3.97,56.27,6.0,1.0,0.0,5.0,0.77,3.0,22.0,-1.71
CHEMBL3623307,COc1ccc(Nc2nc(-c3ccccn3)cs2)nc1,6.154901959985743,284.34,3.35,59.93,6.0,1.0,0.0,4.0,0.8,3.0,20.0,-1.93
CHEMBL3623308,COc1ccnc(-c2csc(Nc3ccc(Cl)cn3)n2)c1,8.522878745280337,318.79,4.01,59.93,6.0,1.0,0.0,4.0,0.79,3.0,21.0,-1.94
CHEMBL3623309,COc1ccc(-c2csc(Nc3ccc(Cl)cn3)n2)nc1,6.823908740944319,318.79,4.01,59.93,6.0,1.0,0.0,4.0,0.79,3.0,21.0,-2.07
CHEMBL3623310,FC(F)(F)c1ccc(-c2csc(Nc3ccc(Cl)cn3)n2)nc1,6.267606240177031,356.76,5.02,50.7,5.0,1.0,1.0,3.0,0.72,3.0,23.0,-2.42
CHEMBL3623311,CCOc1ccc(-c2csc(Nc3ccc(Cl)cn3)n2)nc1,6.552841968657781,332.82,4.4,59.93,6.0,1.0,0.0,5.0,0.75,3.0,22.0,-2.29
CHEMBL3623312,Clc1ccc(Nc2nc(-c3ccccn3)c(Cl)s2)nc1,7.221848749616356,323.21,4.65,50.7,5.0,1.0,0.0,3.0,0.76,3.0,20.0,-2.13
CHEMBL3623313,COc1ccnc(-c2nc(Nc3ccc(Cl)cn3)sc2Cl)c1,8.0,353.23,4.66,59.93,6.0,1.0,0.0,4.0,0.74,3.0,22.0,-1.7
CHEMBL3623314,COc1ccc(-c2nc(Nc3ccc(Cl)cn3)sc2Cl)nc1,7.698970004336019,353.23,4.66,59.93,6.0,1.0,0.0,4.0,0.74,3.0,22.0,-1.79
CHEMBL3623315,FC(F)(F)c1ccc(-c2nc(Nc3ccc(Cl)cn3)sc2Cl)nc1,5.373659632624958,391.2,5.67,50.7,5.0,1.0,1.0,3.0,0.63,3.0,24.0,-2.14
CHEMBL3623316,CCOc1ccc(-c2nc(Nc3ccc(Cl)cn3)sc2Cl)nc1,5.764471553092451,367.26,5.05,59.93,6.0,1.0,1.0,5.0,0.68,3.0,23.0,-2.01
CHEMBL3623317,Clc1ccc(Nc2nc(-c3cccnn3)cs2)nc1,5.761953896871205,289.75,3.39,63.59,6.0,1.0,0.0,3.0,0.8,3.0,19.0,-2.6
CHEMBL3623318,Clc1ccc(Nc2nc(-c3cccnn3)c(Cl)s2)nc1,5.235077015350111,324.2,4.05,63.59,6.0,1.0,0.0,3.0,0.79,3.0,20.0,-2.23
CHEMBL3623319,Clc1ccc(Nc2nc(-c3ncccn3)cs2)nc1,5.8124792791635365,289.75,3.39,63.59,6.0,1.0,0.0,3.0,0.8,3.0,19.0,-2.46
CHEMBL3623320,Clc1ccc(Nc2nc(-c3ncccn3)c(Cl)s2)nc1,6.795880017344075,324.2,4.05,63.59,6.0,1.0,0.0,3.0,0.79,3.0,20.0,-2.11
CHEMBL3623321,Clc1ccc(Nc2nc(-c3cnccn3)cs2)nc1,4.425968732272281,289.75,3.39,63.59,6.0,1.0,0.0,3.0,0.8,3.0,19.0,-2.47
CHEMBL3623322,Clc1ccc(Nc2nc(-c3cnccn3)c(Cl)s2)nc1,4.022276394711152,324.2,4.05,63.59,6.0,1.0,0.0,3.0,0.79,3.0,20.0,-2.15
CHEMBL3623323,Clc1ccc(Nc2nc(-n3cccn3)cs2)nc1,4.0,277.74,3.12,55.63,6.0,1.0,0.0,3.0,0.8,3.0,18.0,-3.28
CHEMBL362378,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(O)cc3)c2O)O1,4.698970004336019,322.36,4.18,66.76,4.0,2.0,0.0,3.0,0.66,2.0,24.0,1.79
CHEMBL363162,Clc1ccc(C(c2c[nH]cc2-c2cccc3ccccc23)n2ccnc2)c(Cl)c1,5.718966632752272,418.33,6.98,33.61,2.0,1.0,1.0,4.0,0.34,5.0,29.0,-0.92
CHEMBL3633311,O=C(Cn1cnc([N+](=O)[O-])n1)N1CCN(c2ccc(Cl)cc2)CC1,5.027519450123524,350.77,1.19,97.4,7.0,0.0,0.0,4.0,0.61,2.0,24.0,-2.3
