Molecular_Weight,AlogP,TPSA,HBA,HBD,RO5_Violations,Rotatable_Bonds,QED,Aromatic_Rings,Heavy_Atoms,NP_Likeness
570.44,5.62,95.26,4.0,2.0,2.0,4.0,0.17,5.0,38.0,-0.37
570.44,5.62,95.26,4.0,2.0,2.0,4.0,0.17,5.0,38.0,-0.37
319.33,4.83,32.59,2.0,1.0,0.0,1.0,0.8,2.0,23.0,0.46
268.15,3.21,21.59,2.0,0.0,0.0,1.0,0.77,1.0,15.0,0.99
265.36,4.12,21.59,2.0,0.0,0.0,2.0,0.8,2.0,20.0,0.85
251.33,3.81,32.59,2.0,1.0,0.0,1.0,0.82,2.0,19.0,1.01
231.3,4.41,12.89,1.0,0.0,0.0,2.0,0.64,3.0,18.0,-0.54
265.36,4.12,32.59,2.0,1.0,0.0,1.0,0.83,2.0,20.0,0.86
267.33,3.52,52.82,3.0,2.0,0.0,1.0,0.83,2.0,20.0,1.21
285.77,4.47,32.59,2.0,1.0,0.0,1.0,0.82,2.0,20.0,0.58
405.27,4.6,91.8,6.0,1.0,0.0,4.0,0.68,3.0,26.0,-1.87
369.19,3.94,89.31,5.0,1.0,0.0,3.0,0.5,2.0,23.0,-1.06
299.8,4.77,21.59,2.0,0.0,0.0,2.0,0.78,2.0,21.0,0.45
315.42,5.27,21.59,2.0,0.0,1.0,2.0,0.63,3.0,24.0,0.72
301.39,4.97,32.59,2.0,1.0,0.0,1.0,0.68,3.0,23.0,0.85
315.42,5.27,21.59,2.0,0.0,1.0,2.0,0.63,3.0,24.0,0.73
301.39,4.97,32.59,2.0,1.0,0.0,1.0,0.68,3.0,23.0,0.86
319.41,4.75,57.78,2.0,2.0,0.0,3.0,0.73,3.0,24.0,-1.63
333.42,4.85,57.78,3.0,2.0,0.0,3.0,0.56,4.0,24.0,-2.27
333.42,4.85,57.78,3.0,2.0,0.0,3.0,0.56,4.0,24.0,-2.05
333.42,4.55,46.92,4.0,1.0,0.0,3.0,0.6,4.0,24.0,-2.2
279.38,4.42,21.59,2.0,0.0,0.0,2.0,0.8,2.0,21.0,0.72
386.4,3.01,54.98,3.0,1.0,0.0,7.0,0.62,2.0,20.0,-0.62
473.41,7.49,42.21,4.0,1.0,1.0,4.0,0.27,3.0,33.0,-0.87
406.95,5.52,36.92,4.0,0.0,1.0,4.0,0.62,1.0,28.0,2.16
297.33,3.43,50.42,4.0,1.0,0.0,1.0,0.75,3.0,22.0,-1.42
365.27,3.26,95.97,7.0,0.0,0.0,4.0,0.52,3.0,26.0,-1.88
547.67,2.38,140.42,8.0,3.0,1.0,11.0,0.36,2.0,38.0,0.12
199.21,2.33,50.19,2.0,1.0,0.0,2.0,0.75,2.0,15.0,-0.39
372.46,4.01,53.99,5.0,0.0,0.0,3.0,0.59,1.0,27.0,2.81
387.51,5.17,46.09,4.0,0.0,1.0,6.0,0.46,4.0,28.0,-2.06
456.5,5.21,57.15,5.0,1.0,1.0,4.0,0.63,1.0,32.0,2.15
296.36,2.79,53.99,5.0,0.0,0.0,1.0,0.55,0.0,21.0,3.52
310.39,3.18,53.99,5.0,0.0,0.0,2.0,0.58,0.0,22.0,3.5
